timestamp,power_draw_W
1617235200,213636.61000000025
1617235201,212402.36999999982
1617235202,218843.91999999946
1617235203,217822.39000000025
1617235204,215063.88000000003
1617235205,216645.41999999998
1617235206,215374.08000000028
1617235207,210378.2799999998
1617235208,210465.68999999983
1617235209,206787.0199999999
1617235210,214103.79999999973
1617235211,207941.06999999995
1617235212,217151.0799999998
1617235213,207334.02999999997
1617235214,205260.74999999948
1617235215,213493.8199999998
1617235216,213179.4799999997
1617235217,209915.84000000055
1617235218,212203.0500000001
1617235219,201185.19000000026
1617235220,212751.41
1617235221,206245.73000000027
1617235222,208104.39999999994
1617235223,201416.93999999994
1617235224,207500.1100000001
1617235225,210249.71000000014
1617235226,205857.36999999965
1617235227,207175.38999999993
1617235228,207440.7599999997
1617235229,213194.55999999976
1617235230,212403.0499999995
1617235231,210329.03000000006
1617235232,208321.24999999974
1617235233,215116.69
1617235234,211447.5299999997
1617235235,211982.06999999992
1617235236,207087.49999999983
1617235237,213948.20000000027
1617235238,209096.46000000037
1617235239,212502.50000000017
1617235240,206747.94999999958
1617235241,211716.09000000023
1617235242,211115.3900000001
1617235243,209277.48000000036
1617235244,207579.77999999982
1617235245,211460.36999999988
1617235246,210417.31999999992
1617235247,210532.4799999995
1617235248,208072.1399999997
1617235249,207076.04999999996
1617235250,212192.54999999973
1617235251,213058.08999999973
1617235252,204166.3200000002
1617235253,205173.27000000028
1617235254,212136.3799999998
1617235255,213163.46
1617235256,209854.51000000013
1617235257,210887.3999999997
1617235258,213533.15999999948
1617235259,212016.2299999997
1617235260,207242.20999999958
1617235261,215827.6999999996
1617235262,207883.37999999986
1617235263,208348.27
1617235264,209203.40999999974
1617235265,215882.19000000012
1617235266,204607.5200000004
1617235267,212356.95000000024
1617235268,210755.06999999966
1617235269,214923.78000000012
1617235270,209344.52000000008
1617235271,209746.03000000006
1617235272,208036.22999999992
1617235273,213740.62000000002
1617235274,211159.9099999999
1617235275,210710.93
1617235276,207694.96999999983
1617235277,210543.61000000016
1617235278,212556.33000000025
1617235279,213337.3599999999
1617235280,212724.24999999994
1617235281,215729.78999999992
1617235282,210430.32000000015
1617235283,217590.5999999997
1617235284,213409.8700000004
1617235285,209048.82000000004
1617235286,215857.94999999966
1617235287,215048.70999999976
1617235288,213350.14999999985
1617235289,202143.69999999987
1617235290,194244.3499999998
1617235291,198327.69000000003
1617235292,196210.73999999967
1617235293,215588.63999999996
1617235294,212292.92999999982
1617235295,214946.82999999984
1617235296,216084.75999999992
1617235297,220997.70999999967
1617235298,214667.88999999952
1617235299,216014.81000000014
1617235300,212597.46000000017
1617235301,215097.55999999962
1617235302,215787.93999999965
1617235303,206315.84000000014
1617235304,209867.07999999952
1617235305,214029.48000000033
1617235306,210588.25000000023
1617235307,212396.4199999998
1617235308,203944.6100000001
1617235309,211897.29999999958
1617235310,206568.76999999996
1617235311,212328.38999999972
1617235312,212716.63
1617235313,206531.26999999935
1617235314,211216.17999999982
1617235315,212078.95999999985
1617235316,214025.34999999974
1617235317,209064.68999999994
1617235318,211368.37000000037
1617235319,212304.9400000001
1617235320,213079.75000000035
1617235321,212106.97999999975
1617235322,209728.5199999999
1617235323,208577.62999999974
1617235324,211994.69999999955
1617235325,206861.95999999996
1617235326,211479.68
1617235327,210213.83999999968
1617235328,202924.64000000028
1617235329,210728.80999999982
1617235330,208108.3699999997
1617235331,207113.96999999962
1617235332,207772.72999999978
1617235333,209160.17999999976
1617235334,208993.97
1617235335,211854.25999999963
1617235336,213988.2799999998
1617235337,207775.8799999997
1617235338,212127.2200000001
1617235339,212261.12999999957
1617235340,210386.7199999995
1617235341,208726.0400000001
1617235342,211160.56999999972
1617235343,210225.5999999999
1617235344,216124.95000000033
1617235345,204905.93999999974
1617235346,203164.3500000001
1617235347,206006.48000000013
1617235348,210506.71999999997
1617235349,216511.33999999982
1617235350,210299.97999999975
1617235351,216213.1499999998
1617235352,210804.55999999994
1617235353,210352.92999999985
1617235354,212969.69999999914
1617235355,208304.76
1617235356,213495.53999999972
1617235357,212558.08000000002
1617235358,214272.46999999968
1617235359,211781.1699999998
1617235360,206441.6599999999
1617235361,212009.55000000028
1617235362,213583.62000000002
1617235363,210095.23000000019
1617235364,209422.7399999998
1617235365,217601.9499999997
1617235366,211672.97
1617235367,209485.74999999956
1617235368,213867.30999999976
1617235369,207509.26000000018
1617235370,205604.30999999936
1617235371,214765.5799999997
1617235372,209031.63999999998
1617235373,210541.27
1617235374,208635.72999999975
1617235375,212688.13999999987
1617235376,216799.5899999997
1617235377,213925.54999999996
1617235378,207250.9999999998
1617235379,214773.8899999998
1617235380,214190.35999999984
1617235381,214918.2999999996
1617235382,208515.3299999997
1617235383,198931.17999999988
1617235384,203463.11999999953
1617235385,198321.8199999998
1617235386,192954.80000000002
1617235387,190310.47999999975
1617235388,198202.1999999999
1617235389,217356.10000000012
1617235390,219126.21999999968
1617235391,214559.2999999998
1617235392,214956.33999999997
1617235393,214895.5999999994
1617235394,218605.28000000014
1617235395,216567.4199999999
1617235396,209854.19999999975
1617235397,218305.0999999999
1617235398,208768.43999999992
1617235399,216028.84999999963
1617235400,211094.91000000003
1617235401,210573.35
1617235402,215051.30999999988
1617235403,214151.26999999996
1617235404,214543.01999999981
1617235405,216037.82999999987
1617235406,210617.68999999977
1617235407,218351.52999999956
1617235408,212702.43999999994
1617235409,216674.27999999988
1617235410,213582.21000000005
