timestamp,power_draw_W
1617464220,195458.9400000003
1617464221,201280.5099999998
1617464222,191838.90999999986
1617464223,195587.38999999987
1617464224,197994.61999999976
1617464225,195354.07999999973
1617464226,191394.83999999982
1617464227,190030.14000000004
1617464228,196148.19000000015
1617464229,195087.25999999995
1617464230,194317.26999999981
1617464231,186819.95000000016
1617464232,197513.34000000003
1617464233,200754.09000000026
1617464234,190505.02000000016
1617464235,190567.08000000002
1617464236,199255.18000000037
1617464237,189414.11000000016
1617464238,186255.31999999992
1617464239,177303.18000000005
1617464240,164460.00000000012
1617464241,177083.7900000001
1617464242,169278.98999999982
1617464243,195421.0999999997
1617464244,195378.57
1617464245,200138.1899999998
1617464246,202081.83000000025
1617464247,199594.71000000017
1617464248,194589.28000000012
1617464249,191729.73999999993
1617464250,199805.1299999995
1617464251,195705.9400000003
1617464252,200950.28000000038
1617464253,190202.2999999998
1617464254,194453.72000000026
1617464255,192858.17000000004
1617464256,193862.73000000033
1617464257,195303.35999999996
1617464258,198020.64000000013
1617464259,199285.69000000018
1617464260,193716.12000000002
1617464261,198702.08999999982
1617464262,195315.8799999999
1617464263,203287.8
1617464264,203329.0
1617464265,198577.8700000002
1617464266,195645.5299999999
1617464267,199132.03999999978
1617464268,191331.32000000004
1617464269,195846.1799999999
1617464270,194153.96000000017
1617464271,180552.23000000027
1617464272,184355.67999999996
1617464273,196053.09000000026
1617464274,189069.46999999988
1617464275,201153.12000000023
1617464276,178933.0300000005
1617464277,180466.43000000037
1617464278,174144.78999999998
1617464279,181410.86999999982
1617464280,24839.679999999997
